# 2023-03-03T18:03:03+08:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S08487
# Firmware: 787
# Software: 1.9.0.2
# Sensitivity: 100
# Gain: 340
# Scan Range [ps]: 50.0
# Filter ACF: 1
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 1.910
# Fit Type: Sech2
# Fit Pulse Duration [ps]: 1.188
# FWHM Valid: 1
# ==========
Delay [ps]	Intensity [arb.u.]	Fit [arb.u.]
27.247752	0.067259	0.064570
27.249993	0.067355	0.064570
27.252213	0.067447	0.064570
27.254325	0.067535	0.064570
27.256394	0.067617	0.064570
27.258530	0.067695	0.064570
27.260669	0.067767	0.064570
27.262831	0.067833	0.064570
27.264928	0.067894	0.064570
27.266980	0.067949	0.064570
27.268965	0.067999	0.064570
27.270991	0.068042	0.064570
27.272994	0.068079	0.064570
27.275017	0.068111	0.064570
27.276911	0.068136	0.064570
27.278829	0.068156	0.064570
27.280835	0.068170	0.064570
27.282778	0.068178	0.064570
27.284723	0.068180	0.064570
27.286603	0.068178	0.064570
27.288482	0.068170	0.064570
27.290316	0.068157	0.064570
27.292128	0.068140	0.064570
27.293961	0.068118	0.064570
27.295709	0.068092	0.064570
27.297549	0.068062	0.064570
27.299304	0.068028	0.064570
27.301014	0.067992	0.064570
27.302744	0.067952	0.064570
27.304388	0.067910	0.064570
27.306118	0.067865	0.064570
27.307913	0.067819	0.064570
27.309618	0.067771	0.064570
27.311193	0.067722	0.064570
27.312877	0.067672	0.064570
27.314516	0.067621	0.064570
27.316090	0.067570	0.064570
27.317708	0.067519	0.064570
27.319174	0.067469	0.064570
27.320704	0.067419	0.064570
27.322232	0.067370	0.064570
27.323716	0.067322	0.064570
27.325114	0.067275	0.064570
27.326536	0.067231	0.064570
27.328004	0.067187	0.064570
27.329455	0.067146	0.064570
27.330865	0.067107	0.064570
27.332211	0.067071	0.064570
27.333620	0.067036	0.064570
27.334987	0.067004	0.064570
27.336310	0.066975	0.064570
27.337655	0.066948	0.064570
27.338867	0.066923	0.064570
27.340102	0.066901	0.064570
27.341339	0.066881	0.064570
27.342601	0.066864	0.064570
27.343884	0.066848	0.064570
27.345077	0.066835	0.064570
27.346267	0.066824	0.064570
27.347432	0.066814	0.064570
27.348570	0.066806	0.064570
27.349727	0.066799	0.064570
27.350772	0.066794	0.064570
27.351838	0.066789	0.064570
27.352862	0.066785	0.064570
27.353996	0.066782	0.064570
27.355066	0.066778	0.064570
27.356179	0.066774	0.064570
27.357294	0.066770	0.064570
27.358323	0.066765	0.064570
27.359374	0.066760	0.064570
27.360358	0.066752	0.064570
27.361253	0.066743	0.064570
27.362127	0.066733	0.064570
27.362979	0.066720	0.064570
27.363786	0.066705	0.064570
27.364703	0.066687	0.064570
27.365468	0.066666	0.064570
27.366298	0.066642	0.064570
27.367211	0.066615	0.064570
27.368056	0.066584	0.064570
27.368812	0.066550	0.064570
27.369673	0.066511	0.064570
27.370404	0.066469	0.064570
27.371095	0.066423	0.064570
27.371855	0.066373	0.064570
27.372571	0.066318	0.064570
27.373310	0.066260	0.064570
27.374026	0.066197	0.064570
27.374676	0.066130	0.064570
27.375347	0.066059	0.064570
27.376038	0.065984	0.064570
27.376792	0.065905	0.064570
27.377369	0.065823	0.064570
27.377967	0.065737	0.064570
27.378520	0.065647	0.064570
27.379071	0.065555	0.064570
27.379554	0.065460	0.064570
27.380038	0.065362	0.064570
27.380588	0.065262	0.064570
27.381098	0.065161	0.064570
27.381522	0.065057	0.064570
27.382011	0.064953	0.064570
27.382370	0.064847	0.064570
27.382732	0.064741	0.064570
27.383096	0.064636	0.064570
27.383461	0.064530	0.064570
27.383803	0.064425	0.064570
27.384100	0.064322	0.064570
27.384481	0.064220	0.064570
27.384796	0.064121	0.064570
27.385022	0.064024	0.064570
27.385268	0.063930	0.064570
27.385490	0.063839	0.064570
27.385690	0.063753	0.064570
27.385954	0.063670	0.064570
27.386109	0.063593	0.064570
27.386201	0.063520	0.064570
27.386297	0.063453	0.064570
27.386354	0.063391	0.064570
27.386437	0.063336	0.064570
27.386524	0.063287	0.064570
27.386614	0.063245	0.064570
27.386638	0.063210	0.064570
27.386708	0.063182	0.064570
27.386734	0.063161	0.064570
27.386737	0.063148	0.064570
27.386740	0.063143	0.064570
27.386612	0.063146	0.064570
27.386529	0.063157	0.064570
27.386446	0.063175	0.064570
27.386470	0.063202	0.064570
27.386301	0.063237	0.064570
27.386091	0.063280	0.064570
27.385968	0.063331	0.064570
27.385870	0.063390	0.064570
27.385861	0.063456	0.064570
27.385722	0.063530	0.064570
27.385517	0.063611	0.064570
27.385355	0.063699	0.064570
27.385105	0.063794	0.064570
27.384853	0.063896	0.064570
27.384559	0.064004	0.064570
27.384330	0.064118	0.064570
27.384012	0.064238	0.064570
27.383736	0.064362	0.064570
27.383331	0.064492	0.064570
27.382926	0.064626	0.064570
27.382521	0.064764	0.064570
