in s,C1 in V
-1.784E-07,-8.55469E-04
-1.782E-07,-1.24609E-03
-1.780E-07,-1.05078E-03
-1.778E-07,-1.24609E-03
-1.776E-07,-1.05078E-03
-1.774E-07,-1.44141E-03
-1.772E-07,-1.44141E-03
-1.770E-07,-1.83203E-03
-1.768E-07,-2.41797E-03
-1.766E-07,-2.61328E-03
-1.764E-07,-2.02734E-03
-1.762E-07,-1.24609E-03
-1.760E-07,-1.05078E-03
-1.758E-07,-1.05078E-03
-1.756E-07,-6.60156E-04
-1.754E-07,-4.64844E-04
-1.752E-07,-8.55469E-04
-1.750E-07,-1.63672E-03
-1.748E-07,-1.44141E-03
-1.746E-07,-1.83203E-03
-1.744E-07,-8.55469E-04
-1.742E-07,-6.60156E-04
-1.740E-07,1.21094E-04
-1.738E-07,-4.64844E-04
-1.736E-07,-1.24609E-03
-1.734E-07,-1.83203E-03
-1.732E-07,-1.44141E-03
-1.730E-07,-1.63672E-03
-1.728E-07,-1.63672E-03
-1.726E-07,-1.63672E-03
-1.724E-07,-1.24609E-03
-1.722E-07,-1.83203E-03
-1.720E-07,-2.41797E-03
-1.718E-07,-2.61328E-03
-1.716E-07,-2.61328E-03
-1.714E-07,-2.61328E-03
-1.712E-07,-2.41797E-03
-1.710E-07,-2.02734E-03
-1.708E-07,-2.61328E-03
-1.706E-07,-2.41797E-03
-1.704E-07,-2.22266E-03
-1.702E-07,-2.02734E-03
-1.700E-07,-2.02734E-03
-1.698E-07,-1.83203E-03
-1.696E-07,-1.83203E-03
-1.694E-07,-1.83203E-03
-1.692E-07,-1.44141E-03
-1.690E-07,-1.24609E-03
-1.688E-07,-8.55469E-04
-1.686E-07,-1.24609E-03
-1.684E-07,-1.24609E-03
-1.682E-07,-1.63672E-03
-1.680E-07,-2.02734E-03
-1.678E-07,-2.61328E-03
-1.676E-07,-2.61328E-03
-1.674E-07,-2.80859E-03
-1.672E-07,-2.02734E-03
-1.670E-07,-1.63672E-03
-1.668E-07,-8.55469E-04
-1.666E-07,-1.44141E-03
-1.664E-07,-1.05078E-03
-1.662E-07,-1.63672E-03
-1.660E-07,-2.22266E-03
-1.658E-07,-2.61328E-03
