Wavelength0,Intensity0,Wavelength1,Intensity1,Wavelength2,Intensity2,Wavelength3,Intensity3,Wavelength4,Intensity4,Wavelength5,Intensity5,Wavelength6,Intensity6,Wavelength7,Intensity7,Wavelength8,Intensity8,Wavelength9,Intensity9,Wavelength10,Intensity10,Wavelength11,Intensity11,Wavelength12,Intensity12,Wavelength13,Intensity13,Wavelength14,Intensity14,Wavelength15,Intensity15,Wavelength16,Intensity16,Wavelength17,Intensity17,Wavelength18,Intensity18,Wavelength19,Intensity19,Wavelength20,Intensity20,Wavelength21,Intensity21,Wavelength22,Intensity22,Wavelength23,Intensity23,Wavelength24,Intensity24,Wavelength25,Intensity25,Wavelength26,Intensity26,Wavelength27,Intensity27,Wavelength28,Intensity28,Wavelength29,Intensity29
1428.0,-81.948,1428.0,-89.418,1428.0,-80.289,1428.0,-83.203,1428.0,-82.944,1428.0,-67.83,1428.0,-81.426,1428.0,-82.246,1428.0,-83.98,1428.0,-210.0,1428.0,-84.624,1428.0,-80.615,1428.0,-81.629,1428.0,-83.972,1428.0,-83.257,1428.0,-80.661,1428.0,-85.004,1428.0,-81.307,1428.0,-84.561,1428.0,-86.205,1428.0,-210.0,1428.0,-84.283,1428.0,-81.284,1428.0,-80.188,1428.0,-81.938,1428.0,-83.239,1428.0,-79.062,1428.0,-82.28,1428.0,-80.081,1428.0,-84.589
1428.15,-84.731,1428.15,-81.43,1428.15,-79.816,1428.15,-86.035,1428.15,-87.261,1428.15,-210.0,1428.15,-80.804,1428.15,-83.526,1428.15,-86.032,1428.15,-81.985,1428.15,-80.337,1428.15,-85.62,1428.15,-79.884,1428.15,-80.808,1428.15,-87.102,1428.15,-84.648,1428.15,-84.186,1428.15,-85.408,1428.15,-82.496,1428.15,-82.254,1428.15,-79.136,1428.15,-78.81,1428.15,-82.33,1428.15,-80.88,1428.15,-83.816,1428.15,-83.507,1428.15,-86.186,1428.15,-79.936,1428.15,-81.566,1428.15,-79.762
1428.3,-83.619,1428.3,-81.267,1428.3,-81.139,1428.3,-210.0,1428.3,-84.361,1428.3,-100.495,1428.3,-84.511,1428.3,-81.588,1428.3,-87.222,1428.3,-82.832,1428.3,-85.452,1428.3,-82.503,1428.3,-85.663,1428.3,-83.043,1428.3,-81.946,1428.3,-81.864,1428.3,-84.523,1428.3,-80.551,1428.3,-80.671,1428.3,-79.988,1428.3,-93.433,1428.3,-83.687,1428.3,-80.758,1428.3,-80.894,1428.3,-82.549,1428.3,-85.674,1428.3,-80.928,1428.3,-85.138,1428.3,-81.828,1428.3,-81.056
1428.45,-210.0,1428.45,-82.492,1428.45,-82.085,1428.45,-89.638,1428.45,-84.229,1428.45,-210.0,1428.45,-82.853,1428.45,-84.093,1428.45,-80.983,1428.45,-91.957,1428.45,-81.413,1428.45,-81.197,1428.45,-81.497,1428.45,-85.018,1428.45,-89.493,1428.45,-81.463,1428.45,-83.386,1428.45,-81.176,1428.45,-82.767,1428.45,-82.301,1428.45,-100.043,1428.45,-82.644,1428.45,-80.743,1428.45,-81.743,1428.45,-82.681,1428.45,-80.934,1428.45,-91.614,1428.45,-84.094,1428.45,-81.29,1428.45,-85.634
1428.6,-85.515,1428.6,-80.365,1428.6,-82.769,1428.6,-89.811,1428.6,-80.605,1428.6,-73.464,1428.6,-81.976,1428.6,-84.443,1428.6,-83.819,1428.6,-81.77,1428.6,-82.845,1428.6,-82.007,1428.6,-83.407,1428.6,-83.201,1428.6,-82.82,1428.6,-88.238,1428.6,-84.229,1428.6,-210.0,1428.6,-82.33,1428.6,-86.081,1428.6,-80.264,1428.6,-83.544,1428.6,-79.025,1428.6,-80.381,1428.6,-80.522,1428.6,-81.522,1428.6,-79.339,1428.6,-80.286,1428.6,-87.321,1428.6,-85.224
1428.75,-81.956,1428.75,-81.554,1428.75,-80.876,1428.75,-81.911,1428.75,-89.871,1428.75,-210.0,1428.75,-83.195,1428.75,-86.828,1428.75,-82.721,1428.75,-84.235,1428.75,-83.445,1428.75,-81.86,1428.75,-80.796,1428.75,-85.895,1428.75,-80.469,1428.75,-81.389,1428.75,-84.688,1428.75,-83.57,1428.75,-80.628,1428.75,-83.105,1428.75,-78.565,1428.75,-82.19,1428.75,-80.645,1428.75,-83.492,1428.75,-80.435,1428.75,-92.461,1428.75,-79.903,1428.75,-81.141,1428.75,-83.981,1428.75,-81.826
1428.9,-80.159,1428.9,-87.595,1428.9,-78.288,1428.9,-86.312,1428.9,-83.316,1428.9,-68.302,1428.9,-82.529,1428.9,-81.981,1428.9,-85.123,1428.9,-85.546,1428.9,-80.66,1428.9,-83.918,1428.9,-82.386,1428.9,-80.469,1428.9,-82.798,1428.9,-80.62,1428.9,-82.353,1428.9,-82.412,1428.9,-87.463,1428.9,-85.615,1428.9,-80.387,1428.9,-80.765,1428.9,-80.882,1428.9,-82.858,1428.9,-82.105,1428.9,-81.99,1428.9,-81.865,1428.9,-82.386,1428.9,-81.2,1428.9,-83.318
1429.05,-210.0,1429.05,-81.812,1429.05,-88.866,1429.05,-94.87,1429.05,-85.932,1429.05,-77.141,1429.05,-87.177,1429.05,-82.676,1429.05,-83.083,1429.05,-80.24,1429.05,-84.368,1429.05,-80.528,1429.05,-80.829,1429.05,-85.618,1429.05,-86.656,1429.05,-84.556,1429.05,-83.56,1429.05,-85.203,1429.05,-83.24,1429.05,-84.922,1429.05,-82.882,1429.05,-85.615,1429.05,-84.702,1429.05,-79.932,1429.05,-85.604,1429.05,-84.455,1429.05,-79.348,1429.05,-79.869,1429.05,-80.338,1429.05,-83.93
1429.2,-84.682,1429.2,-83.313,1429.2,-79.975,1429.2,-80.902,1429.2,-79.418,1429.2,-78.137,1429.2,-81.111,1429.2,-83.614,1429.2,-83.986,1429.2,-86.324,1429.2,-82.262,1429.2,-82.686,1429.2,-83.64,1429.2,-80.364,1429.2,-82.769,1429.2,-82.651,1429.2,-88.944,1429.2,-81.081,1429.2,-88.423,1429.2,-79.669,1429.2,-82.813,1429.2,-85.104,1429.2,-82.154,1429.2,-104.669,1429.2,-85.481,1429.2,-84.676,1429.2,-82.551,1429.2,-83.136,1429.2,-81.052,1429.2,-80.874
1429.35,-86.08,1429.35,-83.996,1429.35,-81.197,1429.35,-89.797,1429.35,-94.639,1429.35,-210.0,1429.35,-81.422,1429.35,-81.263,1429.35,-83.21,1429.35,-81.208,1429.35,-85.194,1429.35,-82.146,1429.35,-92.859,1429.35,-210.0,1429.35,-82.176,1429.35,-81.011,1429.35,-81.409,1429.35,-82.186,1429.35,-91.266,1429.35,-79.588,1429.35,-83.736,1429.35,-82.96,1429.35,-80.237,1429.35,-81.138,1429.35,-80.395,1429.35,-80.974,1429.35,-80.425,1429.35,-210.0,1429.35,-82.579,1429.35,-84.068
